,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
103,107,DawsonPaul Dawson,OLB,"$28,800",-,-,-,-,-,-,-,28800.0,0.02
104,108,ReedTrovon Reed,CB,"$28,800",-,-,-,-,-,-,-,28800.0,0.02
105,109,PowellTyvis Powell,S,"$28,800",-,-,-,-,-,-,-,28800.0,0.02
106,110,ForrestJosh Forrest,ILB,"$21,600",-,-,-,-,-,-,-,21600.0,0.01
107,111,FowlerJalston Fowler,FB,"$21,600",-,-,-,-,-,-,-,21600.0,0.01
108,112,ThompsonJason Thompson,OLB,"$21,600",-,-,-,-,-,-,-,21600.0,0.01
109,113,CarterAlex Carter,S,"$21,600",-,-,-,-,-,-,-,21600.0,0.01
110,114,CalitroAustin Calitro,ILB,"$14,400",-,-,-,-,-,-,-,14400.0,0.01
111,115,HolmesGabe Holmes,TE,"$14,400",-,-,-,-,-,-,-,14400.0,0.01
112,116,NwachukwuNoble Nwachukwu,DE,"$14,400",-,-,-,-,-,-,-,14400.0,0.01
113,117,BrentK.J. Brent,WR,"$7,200",-,-,-,-,-,-,-,7200.0,0.00
114,118,ColemanKyle Coleman,FB,"$7,200",-,-,-,-,-,-,-,7200.0,0.00
115,119,JacksonBranden Jackson,DE,"$7,200",-,-,-,-,-,-,-,7200.0,0.00
116,120,JonesJarron Jones,DT,"$7,200",-,-,-,-,-,-,-,7200.0,0.00
117,121,FrenchChristian French,OLB,-,"$3,334",-,-,-,-,-,-,3334.0,0.00
118,122,MaiavaLene Maiava,T,-,$667,-,-,-,-,-,-,667.0,0.00
